Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
3174,0.016,0,49,42.6,66.2,295,2.908
3493,0.041,0,68,41.9,57.7,153,8.724
8801,0.532,0,72,43,56.7,331,4.921
22015,1.221,0,67,45,60.8,55,4.25
31251,1.838,0,57,41,62.8,15,6.487
41109,2.336,0,46,40.8,66.2,55,8.5
45652,2.635,0,43,40.6,68.2,26,7.829
40277,2.259,0,33,38.1,70.9,294,7.829
31026,1.738,0,34,38.3,70.9,224,8.053
23538,1.085,0,30,37.6,71.8,181,4.474
8700,0.39,0,35,36.1,69.8,201,4.026
3436,0.013,0,42,37.2,66,219,3.132
3423,0.038,0,58,33.1,48.7,91,10.29
